celula	algoritmo	seed	migracao	cenario	inicio	fim	parede_s	cpu_usuario_s	cpu_sistema_s	pico_memoria_kb	codigo_saida	tentativas	trabalhador_pid	sha256_binario
az-anticorr-alta	bfd	59	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:40:49-03:00	2026-08-07T13:41:13-03:00	24.10	23.70	0.33	105484	0	1	492936	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	60	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:40:51-03:00	2026-08-07T13:41:16-03:00	24.69	24.22	0.34	106064	0	1	492997	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	61	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:40:56-03:00	2026-08-07T13:41:24-03:00	27.63	27.29	0.31	105944	0	1	493098	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	62	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:40:59-03:00	2026-08-07T13:41:15-03:00	15.68	15.34	0.31	106316	0	1	493171	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	63	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:41:00-03:00	2026-08-07T13:41:25-03:00	25.79	25.33	0.39	106752	0	1	493194	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	64	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:41:02-03:00	2026-08-07T13:41:21-03:00	19.44	19.06	0.33	105136	0	1	493267	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	65	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:41:02-03:00	2026-08-07T13:41:21-03:00	18.38	17.99	0.30	106348	0	1	493280	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	66	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:41:04-03:00	2026-08-07T13:41:26-03:00	21.91	21.51	0.34	105192	0	1	493332	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	67	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:41:07-03:00	2026-08-07T13:41:33-03:00	25.39	24.89	0.35	106476	0	1	493428	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	68	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:41:08-03:00	2026-08-07T13:41:23-03:00	15.28	14.82	0.42	106272	0	1	493451	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	69	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:41:09-03:00	2026-08-07T13:41:33-03:00	24.01	23.61	0.35	106744	0	1	493464	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	70	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:41:11-03:00	2026-08-07T13:41:29-03:00	17.73	17.32	0.30	106384	0	1	493549	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	bfd	71	none	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:41:13-03:00	2026-08-07T13:41:30-03:00	16.53	16.08	0.31	107372	0	1	493598	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	52	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:53:09-03:00	2026-08-07T14:08:48-03:00	938.29	933.93	0.64	118056	0	1	509317	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	53	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:53:18-03:00	2026-08-07T14:18:35-03:00	1516.63	1507.86	1.96	118792	0	1	509483	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	54	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:53:31-03:00	2026-08-07T14:07:58-03:00	866.31	861.46	1.04	118912	0	1	509777	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	55	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:55:35-03:00	2026-08-07T14:20:42-03:00	1507.03	1500.14	1.02	118604	0	1	512353	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	56	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:55:37-03:00	2026-08-07T14:12:17-03:00	999.88	994.95	1.02	116472	0	1	512427	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	57	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:55:49-03:00	2026-08-07T14:11:52-03:00	962.68	957.36	0.99	118608	0	1	512680	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	58	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:56:25-03:00	2026-08-07T14:13:43-03:00	1037.74	1031.45	1.46	115724	0	1	513438	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	59	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:56:45-03:00	2026-08-07T14:15:49-03:00	1144.43	1137.53	0.82	118608	0	1	513849	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	60	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:57:36-03:00	2026-08-07T14:20:02-03:00	1345.70	1339.33	0.91	119260	0	1	514924	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	61	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:58:13-03:00	2026-08-07T14:20:26-03:00	1333.07	1327.02	1.18	115728	0	1	515721	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	62	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:59:08-03:00	2026-08-07T14:21:19-03:00	1330.97	1323.82	1.86	118260	0	1	516872	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
az-anticorr-alta	cnemesis	63	cnemesis	configs/scenarios/fase1/geo9_azure_anticorr_alta.yaml	2026-08-07T13:59:37-03:00	2026-08-07T14:17:46-03:00	1088.74	1082.36	1.26	118736	0	1	517492	36bfe40eed33c8b8cb491894acd6f63c05c13e0d7a15a6e6f7b9401246d94c6d
