celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us,fonte_carbono
az-em2021-alta,first_fit,47,305e2b27726305e196eea090fabc312280b39e1f,144.33029029286143,66114.72282293257,0,0.0,398.025,0,478,10755,em2021
az-em2021-alta,first_fit,48,305e2b27726305e196eea090fabc312280b39e1f,144.7434173294358,66364.95534088853,0,0.0,399.4291666666667,0,384,9136,em2021
az-em2021-alta,first_fit,49,305e2b27726305e196eea090fabc312280b39e1f,144.1743437929485,66088.42207849975,0,0.0,397.52916666666664,0,389,8950,em2021
az-em2021-alta,first_fit,50,305e2b27726305e196eea090fabc312280b39e1f,144.05882874353972,65975.70276070117,0,0.0,397.39166666666665,0,451,6874,em2021
az-em2021-alta,first_fit,51,305e2b27726305e196eea090fabc312280b39e1f,144.08115187763852,65950.21122382491,0,0.0,398.49583333333334,0,431,10895,em2021
az-em2021-alta,follow_renewables,42,305e2b27726305e196eea090fabc312280b39e1f,142.25920658459296,62582.23988100799,2769,22002708.377300262,339.98333333333335,37668,462,75771,em2021
az-em2021-alta,follow_renewables,43,305e2b27726305e196eea090fabc312280b39e1f,141.1903928554938,61847.20694887322,2749,21467133.613620758,338.42083333333335,30644,272,77200,em2021
az-em2021-alta,follow_renewables,44,305e2b27726305e196eea090fabc312280b39e1f,141.41979156321483,62072.68634866075,2750,21995549.3114357,340.28333333333336,32813,370,76715,em2021
az-em2021-alta,follow_renewables,45,305e2b27726305e196eea090fabc312280b39e1f,141.32176151056137,61871.275030093166,2779,22255685.467586517,337.3,41267,435,81003,em2021
az-em2021-alta,follow_renewables,46,305e2b27726305e196eea090fabc312280b39e1f,142.16870857323244,62489.89687988302,2790,21395319.903600693,339.3666666666667,37648,335,76703,em2021
az-em2021-alta,follow_renewables,47,305e2b27726305e196eea090fabc312280b39e1f,141.41677048622873,62066.438577437395,2731,22077883.99519348,338.1458333333333,40060,431,77268,em2021
az-em2021-alta,follow_renewables,48,305e2b27726305e196eea090fabc312280b39e1f,142.316229160355,62502.64370457237,2764,21070197.2978487,341.1125,44975,344,69451,em2021
az-em2021-alta,follow_renewables,49,305e2b27726305e196eea090fabc312280b39e1f,141.36582346833143,62035.368874963446,2754,21523459.352244377,332.67083333333335,39156,379,72101,em2021
az-em2021-alta,follow_renewables,50,305e2b27726305e196eea090fabc312280b39e1f,141.88943580050437,62328.56474023149,2829,21907622.658675194,339.7416666666667,30745,435,81668,em2021
