celula,algoritmo,total_gco2,gco2_por_vm,gco2_por_mips,vms_alocadas,demanda_admitida_mips
go-realjun-alta,lowest_carbon_dc,61011.31702684961,6.998438584572776,0.0014106278874399167,8718.266666666666,43268508.4630121
go-realjun-alta,round_robin,74632.70405146663,8.39305194353563,0.0018161047395261218,8892.2,41097775.91424227
go-realjun-alta,worst_fit,65541.58847940256,7.511540101758402,0.0022187183185119305,8725.466666666667,29542354.0751048
go-realjun-alta,wsnb,61017.5828091941,6.994673519834068,0.0014015284870185264,8723.8,43555746.11505333
go-realjun-folgada,best_fit,14195.119453827007,7.097559726913503,0.0012892812941131882,2000.0,11010102.697248
go-realjun-folgada,bfd,13734.262990560612,6.867131495280305,0.00124742369514805,2000.0,11010102.697248
go-realjun-folgada,cnemesis,4130.321273487502,2.065160636743751,0.00037513921414374145,2000.0,11010102.697248
go-realjun-folgada,ffd,11821.547658019803,5.910773829009901,0.0010737000356022678,2000.0,11010102.697248
go-realjun-folgada,first_fit,12627.762696195277,6.313881348097639,0.0011469250599589426,2000.0,11010102.697248
go-realjun-folgada,follow_renewables,4205.889181749452,2.1029445908747264,0.000382002720356162,2000.0,11010102.697248
go-realjun-folgada,followme_s,4020.4837679297407,2.0102418839648704,0.0003651631486538876,2000.0,11010102.697248
go-realjun-folgada,lowest_carbon_dc,4205.889181749452,2.1029445908747264,0.000382002720356162,2000.0,11010102.697248
go-realjun-folgada,round_robin,61148.64730069583,30.634611185936425,0.005919227684721095,1996.0666666666666,10341436.030581333
go-realjun-folgada,worst_fit,30775.24040818661,15.584245379666092,0.004564950162951361,1974.7666666666667,6742306.8365777675
go-realjun-folgada,wsnb,6246.018812803176,3.123009406401588,0.0005672988694614431,2000.0,11010102.697248
net100-az-realjun-alta,best_fit,64815.76100362529,6.7862087514169644,0.003008090124959519,9551.9,21547579.135879997
net100-az-realjun-alta,bfd,65171.80039849167,6.873880850503451,0.0029428878469372668,9481.7,22145606.188059226
net100-az-realjun-alta,cnemesis,60477.51324078724,6.287710008953953,0.0028052024339390415,9618.8,21559497.729285914
net100-az-realjun-alta,ffd,63494.373978736345,6.69645334248234,0.002868085555065284,9482.2,22138302.221412867
net100-az-realjun-alta,first_fit,63480.53819090723,6.635850468213869,0.002947386683303385,9566.7,21538242.26237391
net100-az-realjun-alta,follow_renewables,60435.14621469865,6.270962926272075,0.0028015059451397457,9637.8,21573264.78014552
net100-az-realjun-alta,followme_s,60406.54506386982,6.302282301686647,0.0028020736968802085,9585.6,21558234.585972548
net100-az-realjun-alta,lowest_carbon_dc,60493.57727157542,6.324680993825259,0.0028062403286216015,9565.5,21557248.057859052
net100-az-realjun-alta,round_robin,73041.76603369354,7.574126264201645,0.0034051631553817774,9643.9,21451405.03907772
net100-az-realjun-alta,worst_fit,68706.41515787633,7.11407454278869,0.0033200709305068097,9658.1,20694683.47372235
net100-az-realjun-alta,wsnb,60501.99195909781,6.322146619064327,0.002807398735652725,9570.4,21551218.548282824
net100-go-realjun-folgada,best_fit,14153.726312625507,7.076863156312754,0.001285521734158144,2000.0,11010102.697248
net100-go-realjun-folgada,bfd,13745.818308752656,6.872909154376328,0.001248473214712925,2000.0,11010102.697248
net100-go-realjun-folgada,cnemesis,4120.808194978862,2.060404097489431,0.0003742751823748989,2000.0,11010102.697248
net100-go-realjun-folgada,ffd,11826.976639004086,5.913488319502042,0.0010741931264601433,2000.0,11010102.697248
net100-go-realjun-folgada,first_fit,12752.560193345289,6.376280096672644,0.0011582598767705245,2000.0,11010102.697248
net100-go-realjun-folgada,follow_renewables,4198.909841656189,2.099454920828095,0.0003813688170870301,2000.0,11010102.697248
net100-go-realjun-folgada,followme_s,4063.1794412365307,2.0315897206182654,0.0003690410119655043,2000.0,11010102.697248
net100-go-realjun-folgada,lowest_carbon_dc,4198.909841656189,2.099454920828095,0.0003813688170870301,2000.0,11010102.697248
net100-go-realjun-folgada,round_robin,61261.85625871762,30.697003392126106,0.005967337376032773,1995.7,10279102.697248
net100-go-realjun-folgada,worst_fit,30672.670782050496,15.531252504712452,0.004536009383806027,1974.9,6762335.3523139
net100-go-realjun-folgada,wsnb,6255.974624788089,3.127987312394045,0.0005682031127967394,2000.0,11010102.697248
pue-go-realjun-folgada,best_fit,13064.203153180457,6.532101576590227,0.0011865650586934018,2000.0,11010102.697248
pue-go-realjun-folgada,bfd,12668.360885141592,6.334180442570796,0.0011506124178394881,2000.0,11010102.697248
pue-go-realjun-folgada,cnemesis,4580.928926598725,2.2904644632993625,0.0004160659580172434,2000.0,11010102.697248
pue-go-realjun-folgada,ffd,10741.819953648039,5.370909976824019,0.000975633038948218,2000.0,11010102.697248
pue-go-realjun-folgada,first_fit,11685.474851970834,5.842737425985417,0.0010613411312586252,2000.0,11010102.697248
pue-go-realjun-folgada,follow_renewables,4660.618364694556,2.3303091823472775,0.0004233038049553786,2000.0,11010102.697248
pue-go-realjun-folgada,followme_s,4487.505327990852,2.243752663995426,0.0004075806966916407,2000.0,11010102.697248
pue-go-realjun-folgada,lowest_carbon_dc,4660.618364694556,2.3303091823472775,0.0004233038049553786,2000.0,11010102.697248
pue-go-realjun-folgada,round_robin,54786.61109561353,27.452403734838185,0.00533664483188484,1995.7,10279102.697248
pue-go-realjun-folgada,worst_fit,27351.499103772676,13.84956154844198,0.004044861144745377,1974.9,6762335.3523139
pue-go-realjun-folgada,wsnb,6640.637430928482,3.3203187154642406,0.0006031403714870274,2000.0,11010102.697248
