celula,regime,algoritmo,seed,migracoes,intra_dc,inter_dc,frac_intra,vms_migradas,vms_com_mais_de_2_migracoes,max_migracoes_por_vm
az-anticorr-folgada,moderada,cnemesis,50,460,460,0,1.0,125,65,14
az-anticorr-folgada,moderada,cnemesis,51,460,460,0,1.0,133,66,11
az-anticorr-folgada,moderada,cnemesis,52,460,460,0,1.0,113,60,15
az-anticorr-folgada,moderada,cnemesis,53,460,460,0,1.0,116,57,17
az-anticorr-folgada,moderada,cnemesis,54,460,460,0,1.0,123,73,12
az-anticorr-folgada,moderada,cnemesis,55,460,460,0,1.0,114,61,13
az-anticorr-folgada,moderada,cnemesis,56,460,460,0,1.0,125,69,12
az-anticorr-folgada,moderada,cnemesis,57,460,460,0,1.0,128,63,14
az-anticorr-folgada,moderada,cnemesis,58,460,460,0,1.0,153,75,10
az-anticorr-folgada,moderada,cnemesis,59,460,460,0,1.0,135,78,13
az-anticorr-folgada,moderada,cnemesis,60,460,460,0,1.0,126,61,13
az-anticorr-folgada,moderada,cnemesis,61,460,460,0,1.0,129,67,9
az-anticorr-folgada,moderada,cnemesis,62,460,460,0,1.0,114,58,16
az-anticorr-folgada,moderada,cnemesis,63,460,460,0,1.0,124,68,11
az-anticorr-folgada,moderada,cnemesis,64,460,460,0,1.0,131,64,12
az-anticorr-folgada,moderada,cnemesis,65,460,460,0,1.0,131,66,12
az-anticorr-folgada,moderada,cnemesis,66,460,460,0,1.0,133,68,13
az-anticorr-folgada,moderada,cnemesis,67,460,460,0,1.0,127,65,11
az-anticorr-folgada,moderada,cnemesis,68,460,460,0,1.0,134,65,16
az-anticorr-folgada,moderada,cnemesis,69,460,460,0,1.0,109,58,14
az-anticorr-folgada,moderada,cnemesis,70,460,460,0,1.0,125,57,13
az-anticorr-folgada,moderada,cnemesis,71,460,460,0,1.0,126,65,14
az-anticorr-folgada,moderada,follow_renewables,42,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,43,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,44,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,45,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,46,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,47,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,48,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,49,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,50,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,51,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,52,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,53,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,54,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,55,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,56,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,57,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,58,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,59,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,60,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,61,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,62,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,63,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,64,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,65,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,66,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,67,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,68,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,69,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,70,0,0,0,,0,0,0
az-anticorr-folgada,moderada,follow_renewables,71,0,0,0,,0,0,0
az-anticorr-folgada,moderada,followme_s,42,791,400,391,0.5056890012642224,349,98,12
az-anticorr-folgada,moderada,followme_s,43,797,457,340,0.5734002509410289,329,95,11
az-anticorr-folgada,moderada,followme_s,44,684,311,373,0.4546783625730994,340,67,10
az-anticorr-folgada,moderada,followme_s,45,671,252,419,0.37555886736214605,345,82,11
az-anticorr-folgada,moderada,followme_s,46,831,436,395,0.5246690734055355,353,103,10
az-anticorr-folgada,moderada,followme_s,47,755,351,404,0.4649006622516556,345,82,12
az-anticorr-folgada,moderada,followme_s,48,827,459,368,0.5550181378476421,314,105,12
az-anticorr-folgada,moderada,followme_s,49,870,484,386,0.5563218390804597,359,119,11
az-anticorr-folgada,moderada,followme_s,50,783,419,364,0.5351213282247765,338,89,12
az-anticorr-folgada,moderada,followme_s,51,907,562,345,0.619625137816979,345,122,12
az-anticorr-folgada,moderada,followme_s,52,850,494,356,0.5811764705882353,334,105,13
az-anticorr-folgada,moderada,followme_s,53,891,522,369,0.5858585858585859,347,102,14
az-anticorr-folgada,moderada,followme_s,54,786,416,370,0.5292620865139949,354,107,10
az-anticorr-folgada,moderada,followme_s,55,805,433,372,0.537888198757764,318,95,11
az-anticorr-folgada,moderada,followme_s,56,723,341,382,0.47164591977869985,328,79,12
az-anticorr-folgada,moderada,followme_s,57,905,555,350,0.6132596685082873,345,123,13
az-anticorr-folgada,moderada,followme_s,58,742,354,388,0.477088948787062,354,85,14
az-anticorr-folgada,moderada,followme_s,59,797,441,356,0.5533249686323714,325,99,12
az-anticorr-folgada,moderada,followme_s,60,789,410,379,0.5196451204055766,336,96,15
az-anticorr-folgada,moderada,followme_s,61,874,480,394,0.5491990846681922,361,113,11
az-anticorr-folgada,moderada,followme_s,62,839,476,363,0.567342073897497,314,102,13
az-anticorr-folgada,moderada,followme_s,63,825,456,369,0.5527272727272727,365,93,10
az-anticorr-folgada,moderada,followme_s,64,842,467,375,0.5546318289786223,344,100,14
az-anticorr-folgada,moderada,followme_s,65,826,481,345,0.5823244552058111,336,103,11
az-anticorr-folgada,moderada,followme_s,66,839,455,384,0.5423122765196663,366,91,11
az-anticorr-folgada,moderada,followme_s,67,831,469,362,0.5643802647412756,334,112,10
az-anticorr-folgada,moderada,followme_s,68,836,462,374,0.5526315789473685,352,111,10
az-anticorr-folgada,moderada,followme_s,69,831,484,347,0.5824308062575211,334,107,12
az-anticorr-folgada,moderada,followme_s,70,833,482,351,0.5786314525810324,341,99,11
az-anticorr-folgada,moderada,followme_s,71,863,486,377,0.5631517960602549,331,106,12
az-em2021-alta,alta,cnemesis,42,460,40,420,0.08695652173913043,460,0,1
az-em2021-alta,alta,cnemesis,43,460,40,420,0.08695652173913043,460,0,1
az-em2021-alta,alta,cnemesis,44,460,40,420,0.08695652173913043,460,0,1
az-em2021-alta,alta,cnemesis,45,460,40,420,0.08695652173913043,460,0,1
az-em2021-alta,alta,cnemesis,46,460,40,420,0.08695652173913043,460,0,1
az-em2021-alta,alta,cnemesis,47,460,40,420,0.08695652173913043,460,0,1
az-em2021-alta,alta,cnemesis,48,460,40,420,0.08695652173913043,460,0,1
az-em2021-alta,alta,cnemesis,49,460,40,420,0.08695652173913043,460,0,1
az-em2021-alta,alta,cnemesis,50,460,40,420,0.08695652173913043,460,0,1
az-em2021-alta,alta,cnemesis,51,460,58,402,0.12608695652173912,460,0,1
az-em2021-alta,alta,follow_renewables,42,2769,0,2769,0.0,2741,0,2
az-em2021-alta,alta,follow_renewables,43,2749,0,2749,0.0,2713,0,2
az-em2021-alta,alta,follow_renewables,44,2750,0,2750,0.0,2709,0,2
az-em2021-alta,alta,follow_renewables,45,2779,0,2779,0.0,2753,0,2
az-em2021-alta,alta,follow_renewables,46,2790,0,2790,0.0,2753,0,2
az-em2021-alta,alta,follow_renewables,47,2731,0,2731,0.0,2696,0,2
az-em2021-alta,alta,follow_renewables,48,2764,0,2764,0.0,2744,0,2
az-em2021-alta,alta,follow_renewables,49,2754,0,2754,0.0,2723,0,2
az-em2021-alta,alta,follow_renewables,50,2829,0,2829,0.0,2788,0,2
az-em2021-alta,alta,follow_renewables,51,2765,0,2765,0.0,2733,0,2
az-em2021-alta,alta,followme_s,42,1070,198,872,0.18504672897196262,882,31,5
az-em2021-alta,alta,followme_s,43,1038,186,852,0.1791907514450867,889,15,5
az-em2021-alta,alta,followme_s,44,1057,235,822,0.22232734153263956,812,54,6
az-em2021-alta,alta,followme_s,45,1070,165,905,0.1542056074766355,921,18,4
az-em2021-alta,alta,followme_s,46,1081,177,904,0.1637372802960222,927,23,5
az-em2021-alta,alta,followme_s,47,1066,170,896,0.15947467166979362,903,21,5
az-em2021-alta,alta,followme_s,48,1033,215,818,0.20813165537270087,818,41,4
az-em2021-alta,alta,followme_s,49,1084,148,936,0.13653136531365315,935,13,4
az-em2021-alta,alta,followme_s,50,1057,194,863,0.18353831598864712,884,23,5
az-em2021-alta,alta,followme_s,51,1067,170,897,0.15932521087160262,908,22,5
az-em2021-folgada,moderada,cnemesis,42,460,460,0,1.0,149,58,15
az-em2021-folgada,moderada,cnemesis,43,460,460,0,1.0,135,68,11
az-em2021-folgada,moderada,cnemesis,44,460,460,0,1.0,153,74,9
