celula,algoritmo,redundante_por_construcao,cv_pct_10_seeds,cv_pct_20_novas,cv_pct_30_seeds,delta_cv_pp_30_menos_10,delta_cv_pp_20_menos_10
az-anticorr-folgada,lowest_carbon_dc,False,1.7252913461151322,1.7741431410350004,1.7303058285527944,0.0050144824376621155,0.04885179491986813
az-anticorr-folgada,round_robin,False,1.4979612537591918,2.405959674191538,2.1207097447156724,0.6227484909564807,0.9079984204323461
az-anticorr-folgada,worst_fit,False,1.444266005565582,2.5996097088262653,2.3378311836562022,0.8935651780906202,1.1553437032606833
az-anticorr-folgada,wsnb,False,1.3421612713041013,2.0407477288613065,1.8186881044477523,0.47652683314365096,0.6985864575572052
az-flat-alta,best_fit,False,0.16494097294141377,0.27406064376297934,0.24688995648443915,0.08194898354302538,0.10911967082156557
az-flat-alta,bfd,False,0.2345310310538091,0.34080284735097327,0.30583229100828757,0.07130125995447847,0.10627181629716417
az-flat-alta,cnemesis,False,0.508654603155406,0.43532881283030145,0.4533320215185475,-0.05532258163685849,-0.07332579032510456
az-flat-alta,ffd,False,0.16449992773946415,0.26439934377316177,0.23381308908992504,0.0693131613504609,0.09989941603369762
az-flat-alta,first_fit,False,0.17000071269180703,0.2553556051656708,0.228722736391958,0.05872202370015098,0.08535489247386377
az-flat-alta,follow_renewables,False,0.21409377480343958,0.27250890737215977,0.2507632022478714,0.03666942744443183,0.05841513256872019
az-flat-alta,followme_s,False,0.19671419629267684,0.3012722557830642,0.2694678095037565,0.07275361321107965,0.10455805949038738
az-flat-alta,lowest_carbon_dc,False,0.21409377480343958,0.27250890737215977,0.2507632022478714,0.03666942744443183,0.05841513256872019
az-flat-alta,round_robin,False,0.14197177205140452,0.11904240866557296,0.12990463653704062,-0.012067135514363891,-0.022929363385831555
az-flat-alta,worst_fit,False,0.34216990838055633,0.35878283217692003,0.34925154886823706,0.007081640487680729,0.0166129237963637
az-flat-alta,wsnb,False,0.21409377480343958,0.27250890737215977,0.2507632022478714,0.03666942744443183,0.05841513256872019
az-flat-folgada,best_fit,False,0.6346260782720856,1.0847251211478708,0.9677320940734244,0.3331060158013388,0.45009904287578517
az-flat-folgada,bfd,False,1.1354889403709452,1.429772157108094,1.3427961813543396,0.20730724098339448,0.29428321673714875
az-flat-folgada,cnemesis,False,1.1209383126310586,2.210813500886239,1.896725765601145,0.7757874529700863,1.0898751882551805
az-flat-folgada,ffd,False,0.8878378544683729,0.7936135639952383,0.8128028238461185,-0.07503503062225447,-0.09422429047313463
az-flat-folgada,first_fit,False,1.0183621658811441,1.0311213303544338,1.0148871355312066,-0.003475030349937569,0.01275916447328962
az-flat-folgada,follow_renewables,False,0.7799526397963953,0.9519647504876352,0.8879838222013533,0.10803118240495801,0.1720121106912399
az-flat-folgada,followme_s,False,1.7757532019336852,1.3921129548010387,1.54177659138652,-0.23397661054716523,-0.38364024713264655
az-flat-folgada,lowest_carbon_dc,False,0.7799526397963953,0.9519647504876352,0.8879838222013533,0.10803118240495801,0.1720121106912399
az-flat-folgada,round_robin,False,1.1828841142310274,1.216095352395566,1.1892716771429839,0.006387562911956524,0.03321123816453864
az-flat-folgada,worst_fit,False,1.210522950464147,1.642437408120523,1.5387113799987255,0.3281884295345785,0.43191445765637604
az-flat-folgada,wsnb,False,0.7799526397963953,0.9519647504876352,0.8879838222013533,0.10803118240495801,0.1720121106912399
az-realjan-alta,best_fit,True,0.15120194009055285,0.279750666819344,0.2469052803109057,0.09570334022035284,0.12854872672879117
az-realjan-alta,bfd,True,0.2182408763425364,0.32274551335625884,0.28881140896565427,0.07057053262311788,0.10450463701372245
az-realjan-alta,cnemesis,True,0.2756153091798905,0.30904414368190586,0.29567407427307274,0.020058765093182218,0.03342883450201534
az-realjan-alta,ffd,True,0.2221494061612225,0.33754724404478603,0.3004162795832966,0.07826687342207408,0.11539783788356353
az-realjan-alta,first_fit,True,0.2645688912170024,0.34880266569927076,0.3233959382861255,0.05882704706912312,0.08423377448226838
az-realjan-alta,follow_renewables,True,0.9011231650331075,0.6849592067994065,0.7530312215422247,-0.14809194349088284,-0.21616395823370105
az-realjan-alta,followme_s,True,0.24046758708649704,0.3538482099214295,0.3231568657485137,0.08268927866201667,0.11338062283493247
az-realjan-alta,lowest_carbon_dc,True,0.30234828072329906,0.32553488779988193,0.31355932880741827,0.011211048084119213,0.023186607076582877
az-realjan-alta,round_robin,True,0.14099963392980824,0.10363660901704522,0.12090427812652395,-0.020095355803284295,-0.037363024912763027
az-realjan-alta,worst_fit,True,0.3880098263731728,0.3779515039082904,0.3761389192276566,-0.011870907145516196,-0.010058322464882363
az-realjan-alta,wsnb,True,0.2840600160653026,0.2762473059303796,0.27836715382407146,-0.005692862241231167,-0.007812710134923018
az-realjan-folgada,best_fit,True,0.9749389396981585,1.0168916117470161,0.9957197102842266,0.020780770586068087,0.041952672048857664
az-realjan-folgada,bfd,True,1.04560667179759,1.2058189418184766,1.1887996623574295,0.14319299055983947,0.16021227002088656
az-realjan-folgada,cnemesis,True,1.83894110124616,2.4545107662844465,2.2433263855243077,0.4043852842781477,0.6155696650382865
az-realjan-folgada,ffd,True,0.8448329157077363,1.1656323633933734,1.0598255130540013,0.21499259734626497,0.32079944768563706
az-realjan-folgada,first_fit,True,0.7603684149733597,1.0475212248380352,0.9537225269398616,0.19335411196650187,0.2871528098646755
az-realjan-folgada,follow_renewables,True,1.9973254218935677,1.791329260746566,1.8354133850341565,-0.16191203685941113,-0.2059961611470016
az-realjan-folgada,followme_s,True,2.7674793810050127,2.319344577868674,2.546677619141687,-0.22080176186332556,-0.4481348031363388
az-realjan-folgada,lowest_carbon_dc,True,1.9973254218935677,1.791329260746566,1.8354133850341565,-0.16191203685941113,-0.2059961611470016
az-realjan-folgada,round_robin,True,1.3294754809462794,1.3933531252786848,1.3570493130769565,0.0275738321306771,0.06387764433240539
az-realjan-folgada,worst_fit,True,2.269618539251131,2.05170021105914,2.158754048549884,-0.11086449070124704,-0.21791832819199142
az-realjan-folgada,wsnb,True,1.3700532254344706,2.0273322742656115,1.8517632988625519,0.48171007342808125,0.6572790488311409
az-realjun-alta,best_fit,False,0.15120194009055285,0.279750666819344,0.2469052803109057,0.09570334022035284,0.12854872672879117
az-realjun-alta,bfd,False,0.2182408763425364,0.32274551335625884,0.28881140896565427,0.07057053262311788,0.10450463701372245
az-realjun-alta,cnemesis,False,0.2756153091798905,0.30904414368190586,0.29567407427307274,0.020058765093182218,0.03342883450201534
az-realjun-alta,ffd,False,0.2221494061612225,0.33754724404478603,0.3004162795832966,0.07826687342207408,0.11539783788356353
az-realjun-alta,first_fit,False,0.2645688912170024,0.34880266569927076,0.3233959382861255,0.05882704706912312,0.08423377448226838
az-realjun-alta,follow_renewables,False,0.9011231650331075,0.6849592067994065,0.7530312215422247,-0.14809194349088284,-0.21616395823370105
az-realjun-alta,followme_s,False,0.24046758708649704,0.3538482099214295,0.3231568657485137,0.08268927866201667,0.11338062283493247
az-realjun-alta,lowest_carbon_dc,False,0.30234828072329906,0.32553488779988193,0.31355932880741827,0.011211048084119213,0.023186607076582877
az-realjun-alta,round_robin,False,0.14099963392980824,0.10363660901704522,0.12090427812652395,-0.020095355803284295,-0.037363024912763027
az-realjun-alta,worst_fit,False,0.3880098263731728,0.3779515039082904,0.3761389192276566,-0.011870907145516196,-0.010058322464882363
az-realjun-alta,wsnb,False,0.2840600160653026,0.2762473059303796,0.27836715382407146,-0.005692862241231167,-0.007812710134923018
az-realjun-folgada,best_fit,False,0.9749389396981585,1.0168916117470161,0.9957197102842266,0.020780770586068087,0.041952672048857664
az-realjun-folgada,bfd,False,1.04560667179759,1.2058189418184766,1.1887996623574295,0.14319299055983947,0.16021227002088656
az-realjun-folgada,cnemesis,False,1.83894110124616,2.4545107662844465,2.2433263855243077,0.4043852842781477,0.6155696650382865
az-realjun-folgada,ffd,False,0.8448329157077363,1.1656323633933734,1.0598255130540013,0.21499259734626497,0.32079944768563706
az-realjun-folgada,first_fit,False,0.7603684149733597,1.0475212248380352,0.9537225269398616,0.19335411196650187,0.2871528098646755
az-realjun-folgada,follow_renewables,False,1.9973254218935677,1.791329260746566,1.8354133850341565,-0.16191203685941113,-0.2059961611470016
