celula,algoritmo,n_seeds,categoria,dif_gco2,dif_gco2_pct,dif_kwh,dif_kwh_pct,gib_migrados,gco2_por_gib,degenerado_por_construcao,p_bruto,p_holm3,significativo_gco2,recorte
az-em2021-folgada,follow_renewables,10,vence_ambos,-417.985277266248,-5.0251466020112,-0.4810119999979207,-1.119321627598274,2770.7999999996273,0.15085364417002461,False,0.001953125,0.005859375,True,campanha_completa
az-em2021-folgada,followme_s,10,vence_ambos,-879.3273349323074,-10.571541653549671,-3.354729558507041,-7.806502435690527,7579.355063443072,0.11601611582672781,False,0.001953125,0.005859375,True,campanha_completa
az-flat-alta,cnemesis,30,vence_ambos,-1106.3644870506653,-1.6129204064195817,-2.329188393789796,-1.6129204064189477,3681.5580020690336,0.3005152944565559,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-flat-alta,follow_renewables,30,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,True,1.0,1.0,False,campanha_completa
az-flat-alta,followme_s,30,vence_ambos,-412.9418524667941,-0.6020098695357847,-0.8693512683493992,-0.6020098695346175,8740.833681350232,0.04724284519311495,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-flat-folgada,cnemesis,30,vence_ambos,-1334.3440613570579,-5.824499686788171,-2.8091453923295933,-5.824499686786441,3680.654427503453,0.36252902510658375,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-flat-folgada,follow_renewables,30,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,True,1.0,1.0,False,campanha_completa
az-flat-folgada,followme_s,30,vence_ambos,-1827.0463887007177,-7.975177787288242,-3.846413449894834,-7.975177787285939,7519.795502968443,0.24296490349764036,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-realjan-alta,cnemesis,30,vence_ambos,-106.91630850549869,-0.1766841721148322,-0.12147765691717514,-0.08455510253810826,5289.902978305053,0.020211393090569674,False,1.0609626770019531e-05,1.0609626770019531e-05,True,campanha_completa
az-realjan-alta,follow_renewables,30,vence_ambos,-3435.721471112517,-5.677689514593077,-4.83410494157443,-3.3648018029644002,25152.36125178247,0.1365963790325665,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-realjan-alta,followme_s,30,vence_ambos,-470.91690297396804,-0.7782120828887125,-0.8798892454500902,-0.6124511063128033,8782.937873293242,0.05361724172112281,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-realjan-folgada,cnemesis,30,vence_ambos,-335.09592501451436,-5.619125061251082,-1.3102315455765212,-3.050190949678852,3680.5369684180864,0.09104539035741306,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-realjan-folgada,follow_renewables,30,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
az-realjan-folgada,followme_s,30,vence_ambos,-595.81444972692,-9.991037360931935,-3.5016424779264717,-8.15174862125816,7522.462635167967,0.0792047071050179,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-realjun-alta,cnemesis,30,vence_ambos,-106.91630850549869,-0.1766841721148322,-0.12147765691717514,-0.08455510253810826,5289.902978305053,0.020211393090569674,False,1.0609626770019531e-05,1.0609626770019531e-05,True,campanha_completa
az-realjun-alta,follow_renewables,30,vence_ambos,-3435.721471112517,-5.677689514593077,-4.83410494157443,-3.3648018029644002,25152.36125178247,0.1365963790325665,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-realjun-alta,followme_s,30,vence_ambos,-470.91690297396804,-0.7782120828887125,-0.8798892454500902,-0.6124511063128033,8782.937873293242,0.05361724172112281,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-realjun-folgada,cnemesis,30,vence_ambos,-335.09592501451436,-5.619125061251082,-1.3102315455765212,-3.050190949678852,3680.5369684180864,0.09104539035741306,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
az-realjun-folgada,follow_renewables,30,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
az-realjun-folgada,followme_s,30,vence_ambos,-595.81444972692,-9.991037360931935,-3.5016424779264717,-8.15174862125816,7522.462635167967,0.0792047071050179,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
geo3-az-realjun-folgada,cnemesis,10,vence_ambos,-1232.2389715978688,-8.905939986725853,-2.9069961666591744,-6.351448897678082,2879.4443119289353,0.4279433245133308,False,0.001953125,0.005859375,True,campanha_completa
geo3-az-realjun-folgada,follow_renewables,10,vence_ambos,-1040.6996548859374,-7.521600017731898,-2.054062791663751,-4.4878885646648605,5960.394853624515,0.17460246853496428,False,0.001953125,0.005859375,True,campanha_completa
geo3-az-realjun-folgada,followme_s,10,vence_ambos,-1385.3700276901977,-10.012686346073503,-3.670405058506605,-8.019408635710475,7567.2768405245615,0.18307378689665652,False,0.001953125,0.005859375,True,campanha_completa
geo3-go-realjun-folgada,cnemesis,10,dominado,310.35660067860283,3.117484826379539,0.8263326063289697,2.2603444242631867,3162.826912267227,,False,0.001953125,0.005859375,True,campanha_completa
geo3-go-realjun-folgada,follow_renewables,10,dominado,26.86896528691377,0.2698946676156426,0.1184324396707865,0.323959266052701,2892.7984806244262,,False,0.625,0.625,False,campanha_completa
geo3-go-realjun-folgada,followme_s,10,vence_ambos,-498.388278340579,-5.006234415427068,-1.2592165504996828,-3.444452133513852,9102.984366410505,0.054749987287642,False,0.001953125,0.005859375,True,campanha_completa
go-anticorr-alta,cnemesis,30,vence_ambos,-124.98009215938461,-0.2520095406770848,-0.06364168507710796,-0.044029034220269304,8161.518409772249,0.015313338264328223,False,0.13473508320748806,0.13473508320748806,False,campanha_completa
go-anticorr-alta,follow_renewables,30,vence_ambos,-1189.4133963505913,-2.3983301541114805,-1.3556983169358707,-0.9379086602815548,19230.513018572205,0.06185032064417077,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
go-anticorr-alta,followme_s,30,vence_ambos,-525.096246781505,-1.0588027395107966,-0.6644266094989253,-0.45966824874359635,8543.910737261642,0.061458536135151676,False,2.60770320892334e-08,5.21540641784668e-08,True,campanha_completa
go-anticorr-folgada,cnemesis,30,vence_ambos,-121.3698245115148,-2.8993988622043627,-1.8339166092911927,-4.186204038588398,3680.287155372308,0.03297835722800731,False,1.6391277313232422e-07,3.2782554626464844e-07,True,campanha_completa
go-anticorr-folgada,follow_renewables,30,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,False,1.0,1.0,False,campanha_completa
go-anticorr-folgada,followme_s,30,vence_ambos,-311.40804699139187,-7.439214324994457,-1.1794233984243034,-2.6922200108094,6539.4572066699775,0.047619861580219296,False,1.862645149230957e-09,5.587935447692871e-09,True,campanha_completa
go-em2021-alta,cnemesis,10,vence_ambos,-143.3890206925913,-0.22504547310084796,-0.148815128218493,-0.10363991236290276,8029.97856469322,0.017856712759241267,False,0.275390625,0.275390625,False,campanha_completa
go-em2021-alta,follow_renewables,10,vence_ambos,-711.3954222640735,-1.1165172799974907,-1.113269570585146,-0.7753187603502866,15112.59374383865,0.04707301964986036,False,0.001953125,0.005859375,True,campanha_completa
go-em2021-alta,followme_s,10,vence_ambos,-626.7325494351833,-0.9836410236577402,-0.8890953906647325,-0.6191962435127136,8507.747690683324,0.07366609497852251,False,0.005859375,0.01171875,True,campanha_completa
go-em2021-folgada,cnemesis,10,vence_ambos,-116.76900662371536,-2.092300631722501,-0.3947058074163429,-1.123768168938996,3680.154523140192,0.031729376005678975,False,0.001953125,0.005859375,True,campanha_completa
go-em2021-folgada,follow_renewables,10,vence_ambos,-407.25479046020035,-7.297308421041528,-0.8107209891561545,-2.3082063257899272,480.6370435377583,0.8473229351249679,False,0.001953125,0.005859375,True,campanha_completa
go-em2021-folgada,followme_s,10,vence_ambos,-261.28014731606584,-4.681692797538321,-1.0279770646372584,-2.926756794384232,9102.984366703871,0.028702690984701053,False,0.001953125,0.005859375,True,campanha_completa
go-flat-alta,cnemesis,30,vence_ambos,-54.00859964429401,-0.07878923314383565,-0.11370231504016412,-0.07878923314352403,3614.1921031874604,0.014943477851291376,False,0.11907656863331795,0.2381531372666359,False,campanha_completa
go-flat-alta,follow_renewables,30,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,True,1.0,1.0,False,campanha_completa
go-flat-alta,followme_s,30,vence_ambos,-318.3224704578422,-0.46437758995801703,-0.6701525693829855,-0.4643775899566899,8581.764939007287,0.03709289088203164,False,1.218356192111969e-05,3.655068576335907e-05,True,campanha_completa
go-flat-folgada,cnemesis,30,vence_ambos,-146.7403650724455,-0.7727283552074675,-0.308927084362251,-0.7727283552055295,3680.1830498252993,0.03987311584390113,False,3.2391399145126343e-06,6.4782798290252686e-06,True,campanha_completa
go-flat-folgada,follow_renewables,30,nao_elegivel_sem_migracao,0.0,0.0,0.0,0.0,0.0,,True,1.0,1.0,False,campanha_completa
