celula_i,celula_j,tau_b,p_nao_corrigido
az-anticorr-folgada,net100-go-realjun-folgada,0.8518518518518519,0.0003148112129061931
az-anticorr-folgada,net100-az-anticorr-folgada,0.8518518518518519,0.0003148112129061931
az-anticorr-folgada,net100-az-realjun-alta,0.8807710121010884,0.0001781293054554629
az-anticorr-folgada,geo3-az-realjun-folgada,0.697277051246695,0.0030042622393982835
az-anticorr-folgada,geo3-go-realjun-folgada,0.6238794669049377,0.007931923532795267
az-anticorr-folgada,hetcap-az-realjun-folgada,0.8440722199302099,0.0003281542287518693
az-anticorr-folgada,hetcap-az-anticorr-folgada,0.9259259259259258,8.999895879346697e-05
az-anticorr-folgada,pue-az-realjun-folgada,0.9259259259259258,8.999895879346697e-05
az-anticorr-folgada,pue-go-realjun-folgada,0.8518518518518519,0.0003148112129061931
az-anticorr-alta,go-realjun-folgada,0.7706746355884524,0.0010393630991335228
az-anticorr-alta,go-realjun-alta,0.8545454545454545,4.624619207952541e-05
az-anticorr-alta,go-flat-folgada,0.5609681940050744,0.018182160586921
az-anticorr-alta,go-flat-alta,0.18698939800169143,0.4311087151029369
az-anticorr-alta,go-anticorr-folgada,0.7706746355884524,0.0010393630991335228
az-anticorr-alta,go-anticorr-alta,0.7454545454545454,0.000759529822029822
az-anticorr-alta,net100-az-realjun-folgada,0.8073734277593311,0.0005907573118657001
az-anticorr-alta,net100-go-realjun-folgada,0.7706746355884524,0.0010393630991335228
az-anticorr-alta,net100-az-anticorr-folgada,0.697277051246695,0.0030042622393982835
az-anticorr-alta,net100-az-realjun-alta,0.8909090909090909,1.3728555395222063e-05
az-anticorr-alta,geo3-az-realjun-folgada,0.6363636363636364,0.005707170915504249
az-anticorr-alta,geo3-go-realjun-folgada,0.6000000000000001,0.00994553671637005
az-anticorr-alta,hetcap-az-realjun-folgada,0.8545454545454545,4.624619207952541e-05
az-anticorr-alta,hetcap-az-anticorr-folgada,0.8440722199302098,0.0003281542287518693
az-anticorr-alta,pue-az-realjun-folgada,0.8440722199302098,0.0003281542287518693
az-anticorr-alta,pue-go-realjun-folgada,0.7706746355884524,0.0010393630991335228
go-realjun-folgada,go-realjun-alta,0.8440722199302099,0.0003281542287518693
go-realjun-folgada,go-flat-folgada,0.7925939239012171,0.0009119365662494579
go-realjun-folgada,go-flat-alta,0.3396831102433787,0.15522863417295543
go-realjun-folgada,go-anticorr-folgada,0.9259259259259258,8.999895879346697e-05
go-realjun-folgada,go-anticorr-alta,0.587180674734059,0.01246215829454031
go-realjun-folgada,net100-az-realjun-folgada,0.8888888888888888,0.00017029377577951654
go-realjun-folgada,net100-go-realjun-folgada,0.9999999999999999,2.3434607292951027e-05
go-realjun-folgada,net100-az-anticorr-folgada,0.7037037037037037,0.002918218884552016
go-realjun-folgada,net100-az-realjun-alta,0.8807710121010884,0.0001781293054554629
go-realjun-folgada,geo3-az-realjun-folgada,0.6238794669049377,0.007931923532795267
go-realjun-folgada,geo3-go-realjun-folgada,0.7706746355884524,0.0010393630991335228
go-realjun-folgada,hetcap-az-realjun-folgada,0.7706746355884524,0.0010393630991335228
go-realjun-folgada,hetcap-az-anticorr-folgada,0.9259259259259258,8.999895879346697e-05
go-realjun-folgada,pue-az-realjun-folgada,0.9259259259259258,8.999895879346697e-05
go-realjun-folgada,pue-go-realjun-folgada,0.9999999999999999,2.3434607292951027e-05
go-realjun-alta,go-flat-folgada,0.6731618328060892,0.004593123212126663
go-realjun-alta,go-flat-alta,0.2991830368027063,0.20778723575142055
go-realjun-alta,go-anticorr-folgada,0.7706746355884524,0.0010393630991335228
go-realjun-alta,go-anticorr-alta,0.6727272727272727,0.0031063111271444604
go-realjun-alta,net100-az-realjun-folgada,0.8073734277593311,0.0005907573118657001
go-realjun-alta,net100-go-realjun-folgada,0.8440722199302098,0.0003281542287518693
go-realjun-alta,net100-az-anticorr-folgada,0.7706746355884524,0.0010393630991335228
go-realjun-alta,net100-az-realjun-alta,0.8909090909090909,1.3728555395222063e-05
go-realjun-alta,geo3-az-realjun-folgada,0.6363636363636364,0.005707170915504249
go-realjun-alta,geo3-go-realjun-folgada,0.6727272727272727,0.0031063111271444604
go-realjun-alta,hetcap-az-realjun-folgada,0.9272727272727274,3.2567740901074234e-06
go-realjun-alta,hetcap-az-anticorr-folgada,0.8440722199302098,0.0003281542287518693
go-realjun-alta,pue-az-realjun-folgada,0.8440722199302098,0.0003281542287518693
go-realjun-alta,pue-go-realjun-folgada,0.8440722199302098,0.0003281542287518693
go-flat-folgada,go-flat-alta,0.15384615384615385,0.5242683287540432
go-flat-folgada,go-anticorr-folgada,0.7925939239012171,0.0009119365662494579
