celula_i,celula_j,tau_b,p_nao_corrigido
geo3-az-realjun-folgada,go-anticorr-alta,0.45454545454545453,0.06017015392015392
geo3-az-realjun-folgada,go-anticorr-folgada,0.697277051246695,0.0030042622393982835
geo3-az-realjun-folgada,go-em2021-alta,0.5272727272727272,0.02638447971781305
geo3-az-realjun-folgada,go-em2021-folgada,0.45454545454545453,0.06017015392015392
geo3-az-realjun-folgada,go-flat-alta,0.5983660736054126,0.011757284886714786
geo3-az-realjun-folgada,go-flat-folgada,0.4861724348043977,0.04066111501703063
geo3-az-realjun-folgada,go-realjan-alta,0.6000000000000001,0.00994553671637005
geo3-az-realjun-folgada,go-realjan-folgada,0.6238794669049376,0.007931923532795267
geo3-az-realjun-folgada,go-realjun-alta,0.6000000000000001,0.00994553671637005
geo3-az-realjun-folgada,go-realjun-folgada,0.6238794669049376,0.007931923532795267
geo3-az-realjun-folgada,hetcap-az-anticorr-folgada,0.697277051246695,0.0030042622393982835
geo3-az-realjun-folgada,hetcap-az-realjun-folgada,0.6363636363636364,0.005707170915504249
geo3-az-realjun-folgada,net100-az-anticorr-folgada,0.5504818825631803,0.019149571500766134
geo3-az-realjun-folgada,net100-az-realjun-alta,0.6727272727272727,0.0031063111271444604
geo3-az-realjun-folgada,net100-az-realjun-folgada,0.6605782590758164,0.004936818556325078
geo3-az-realjun-folgada,net100-go-realjun-folgada,0.6238794669049376,0.007931923532795267
geo3-az-realjun-folgada,pue-az-realjun-folgada,0.697277051246695,0.0030042622393982835
geo3-az-realjun-folgada,pue-go-realjun-folgada,0.6238794669049376,0.007931923532795267
geo3-go-realjun-folgada,go-anticorr-alta,0.5636363636363636,0.016540504248837583
geo3-go-realjun-folgada,go-anticorr-folgada,0.697277051246695,0.0030042622393982835
geo3-go-realjun-folgada,go-em2021-alta,0.7818181818181819,0.0003334435626102293
geo3-go-realjun-folgada,go-em2021-folgada,0.6363636363636364,0.005707170915504249
geo3-go-realjun-folgada,go-flat-alta,0.5609681940050744,0.018182160586921
geo3-go-realjun-folgada,go-flat-folgada,0.37397879600338285,0.11535073302213321
geo3-go-realjun-folgada,go-realjan-alta,0.7090909090909091,0.0015912097162097162
geo3-go-realjun-folgada,go-realjan-folgada,0.7706746355884524,0.0010393630991335228
geo3-go-realjun-folgada,go-realjun-alta,0.7090909090909091,0.0015912097162097162
geo3-go-realjun-folgada,go-realjun-folgada,0.7706746355884524,0.0010393630991335228
geo3-go-realjun-folgada,hetcap-az-anticorr-folgada,0.697277051246695,0.0030042622393982835
geo3-go-realjun-folgada,hetcap-az-realjun-folgada,0.6000000000000001,0.00994553671637005
geo3-go-realjun-folgada,net100-az-anticorr-folgada,0.4770842982214229,0.04233022912136072
geo3-go-realjun-folgada,net100-az-realjun-alta,0.7090909090909091,0.0015912097162097162
geo3-go-realjun-folgada,net100-az-realjun-folgada,0.6605782590758164,0.004936818556325078
geo3-go-realjun-folgada,net100-go-realjun-folgada,0.7706746355884524,0.0010393630991335228
geo3-go-realjun-folgada,pue-az-realjun-folgada,0.697277051246695,0.0030042622393982835
geo3-go-realjun-folgada,pue-go-realjun-folgada,0.7706746355884524,0.0010393630991335228
go-anticorr-alta,go-anticorr-folgada,0.587180674734059,0.01246215829454031
go-anticorr-alta,go-em2021-alta,0.7818181818181819,0.0003334435626102293
go-anticorr-alta,go-em2021-folgada,0.7818181818181819,0.0003334435626102293
go-anticorr-alta,go-flat-alta,0.6731618328060892,0.004593123212126663
go-anticorr-alta,go-flat-folgada,0.261785157202368,0.2703685816257839
go-anticorr-alta,go-realjan-alta,0.7818181818181819,0.0003334435626102293
