celula,algoritmo,atendimento_pct,posto_total,posto_por_vm,posto_difere
go-anticorr-alta,ffd,95.56518518518519,10.0,9.0,True
go-anticorr-alta,first_fit,96.42481481481482,8.0,8.0,False
go-anticorr-alta,follow_renewables,98.8548148148148,1.0,1.0,False
go-anticorr-alta,followme_s,96.9962962962963,2.0,3.0,True
go-anticorr-alta,lowest_carbon_dc,96.86592592592592,4.0,4.0,False
go-anticorr-alta,round_robin,98.80222222222224,11.0,11.0,False
go-anticorr-alta,worst_fit,96.94962962962964,7.0,7.0,False
go-anticorr-alta,wsnb,97.19370370370369,5.0,5.0,False
go-anticorr-folgada,best_fit,100.0,8.0,8.0,False
go-anticorr-folgada,bfd,100.0,9.0,9.0,False
go-anticorr-folgada,cnemesis,100.0,2.0,2.0,False
go-anticorr-folgada,ffd,100.0,5.0,5.0,False
go-anticorr-folgada,first_fit,100.0,7.0,7.0,False
go-anticorr-folgada,follow_renewables,100.0,3.5,3.5,False
go-anticorr-folgada,followme_s,100.0,1.0,1.0,False
go-anticorr-folgada,lowest_carbon_dc,100.0,3.5,3.5,False
go-anticorr-folgada,round_robin,99.80333333333333,11.0,11.0,False
go-anticorr-folgada,worst_fit,98.73833333333333,10.0,10.0,False
go-anticorr-folgada,wsnb,100.0,6.0,6.0,False
go-em2021-alta,best_fit,98.50666666666666,10.0,6.0,True
go-em2021-alta,bfd,91.83222222222223,9.0,10.0,True
go-em2021-alta,cnemesis,98.59777777777776,3.0,1.0,True
go-em2021-alta,ffd,95.3711111111111,7.0,9.0,True
go-em2021-alta,first_fit,96.40666666666667,6.0,7.0,True
go-em2021-alta,follow_renewables,97.6577777777778,1.0,2.0,True
go-em2021-alta,followme_s,96.89111111111113,2.0,3.0,True
go-em2021-alta,lowest_carbon_dc,96.6811111111111,4.0,5.0,True
go-em2021-alta,round_robin,98.80444444444444,11.0,11.0,False
go-em2021-alta,worst_fit,96.95333333333332,8.0,8.0,False
go-em2021-alta,wsnb,96.78222222222222,5.0,4.0,True
go-em2021-folgada,best_fit,100.0,8.0,8.0,False
go-em2021-folgada,bfd,100.0,6.0,6.0,False
go-em2021-folgada,cnemesis,100.0,3.0,3.0,False
go-em2021-folgada,ffd,100.0,7.0,7.0,False
go-em2021-folgada,first_fit,100.0,9.0,9.0,False
go-em2021-folgada,follow_renewables,100.0,1.0,1.0,False
go-em2021-folgada,followme_s,100.0,2.0,2.0,False
go-em2021-folgada,lowest_carbon_dc,100.0,4.0,4.0,False
go-em2021-folgada,round_robin,99.785,11.0,11.0,False
go-em2021-folgada,worst_fit,98.745,10.0,10.0,False
go-em2021-folgada,wsnb,100.0,5.0,5.0,False
go-flat-alta,best_fit,98.48629629629629,10.0,1.0,True
go-flat-alta,bfd,91.87592592592593,7.0,10.0,True
go-flat-alta,cnemesis,96.88518518518518,2.0,3.0,True
go-flat-alta,ffd,95.56518518518519,9.0,9.0,False
go-flat-alta,first_fit,96.42481481481482,3.0,8.0,True
go-flat-alta,follow_renewables,96.82703703703703,5.0,6.0,True
go-flat-alta,followme_s,96.96370370370371,1.0,2.0,True
go-flat-alta,lowest_carbon_dc,96.82703703703703,5.0,6.0,True
go-flat-alta,round_robin,98.80222222222224,11.0,11.0,False
go-flat-alta,worst_fit,96.94962962962964,8.0,4.0,True
go-flat-alta,wsnb,96.82703703703703,5.0,6.0,True
go-flat-folgada,best_fit,100.0,9.0,9.0,False
go-flat-folgada,bfd,100.0,4.0,4.0,False
go-flat-folgada,cnemesis,100.0,3.0,3.0,False
go-flat-folgada,ffd,100.0,1.0,1.0,False
go-flat-folgada,first_fit,100.0,5.0,5.0,False
go-flat-folgada,follow_renewables,100.0,7.0,7.0,False
go-flat-folgada,followme_s,100.0,2.0,2.0,False
go-flat-folgada,lowest_carbon_dc,100.0,7.0,7.0,False
go-flat-folgada,round_robin,99.80333333333333,11.0,11.0,False
go-flat-folgada,worst_fit,98.73833333333333,10.0,10.0,False
go-flat-folgada,wsnb,100.0,7.0,7.0,False
go-realjan-alta,best_fit,98.48629629629629,9.0,6.0,True
go-realjan-alta,bfd,91.87592592592593,8.0,10.0,True
go-realjan-alta,cnemesis,98.55555555555556,3.0,2.0,True
go-realjan-alta,ffd,95.56518518518519,7.0,8.0,True
go-realjan-alta,first_fit,96.42481481481482,6.0,7.0,True
go-realjan-alta,follow_renewables,98.51185185185186,1.0,1.0,False
go-realjan-alta,followme_s,97.04555555555555,2.0,3.0,True
go-realjan-alta,lowest_carbon_dc,96.86962962962963,4.0,5.0,True
go-realjan-alta,round_robin,98.80222222222224,11.0,11.0,False
go-realjan-alta,worst_fit,96.94962962962964,10.0,9.0,True
go-realjan-alta,wsnb,96.9311111111111,5.0,4.0,True
go-realjan-folgada,best_fit,100.0,9.0,9.0,False
go-realjan-folgada,bfd,100.0,8.0,8.0,False
go-realjan-folgada,cnemesis,100.0,2.0,2.0,False
go-realjan-folgada,ffd,100.0,6.0,6.0,False
go-realjan-folgada,first_fit,100.0,7.0,7.0,False
go-realjan-folgada,follow_renewables,100.0,3.5,3.5,False
go-realjan-folgada,followme_s,100.0,1.0,1.0,False
go-realjan-folgada,lowest_carbon_dc,100.0,3.5,3.5,False
go-realjan-folgada,round_robin,99.80333333333333,11.0,11.0,False
go-realjan-folgada,worst_fit,98.73833333333333,10.0,10.0,False
go-realjan-folgada,wsnb,100.0,5.0,5.0,False
go-realjun-alta,best_fit,98.48629629629629,9.0,6.0,True
go-realjun-alta,bfd,91.87592592592593,8.0,10.0,True
go-realjun-alta,cnemesis,98.55555555555556,3.0,2.0,True
go-realjun-alta,ffd,95.56518518518519,7.0,8.0,True
go-realjun-alta,first_fit,96.42481481481482,6.0,7.0,True
go-realjun-alta,follow_renewables,98.51185185185186,1.0,1.0,False
go-realjun-alta,followme_s,97.04555555555555,2.0,3.0,True
go-realjun-alta,lowest_carbon_dc,96.86962962962963,4.0,5.0,True
go-realjun-alta,round_robin,98.80222222222224,11.0,11.0,False
go-realjun-alta,worst_fit,96.94962962962964,10.0,9.0,True
go-realjun-alta,wsnb,96.9311111111111,5.0,4.0,True
go-realjun-folgada,best_fit,100.0,9.0,9.0,False
go-realjun-folgada,bfd,100.0,8.0,8.0,False
go-realjun-folgada,cnemesis,100.0,2.0,2.0,False
go-realjun-folgada,ffd,100.0,6.0,6.0,False
go-realjun-folgada,first_fit,100.0,7.0,7.0,False
go-realjun-folgada,follow_renewables,100.0,3.5,3.5,False
go-realjun-folgada,followme_s,100.0,1.0,1.0,False
go-realjun-folgada,lowest_carbon_dc,100.0,3.5,3.5,False
go-realjun-folgada,round_robin,99.80333333333333,11.0,11.0,False
go-realjun-folgada,worst_fit,98.73833333333333,10.0,10.0,False
go-realjun-folgada,wsnb,100.0,5.0,5.0,False
hetcap-az-anticorr-folgada,best_fit,100.0,8.0,8.0,False
hetcap-az-anticorr-folgada,bfd,100.0,9.0,9.0,False
hetcap-az-anticorr-folgada,cnemesis,100.0,2.0,2.0,False
hetcap-az-anticorr-folgada,ffd,100.0,7.0,7.0,False
hetcap-az-anticorr-folgada,first_fit,100.0,6.0,6.0,False
hetcap-az-anticorr-folgada,follow_renewables,100.0,3.5,3.5,False
hetcap-az-anticorr-folgada,followme_s,100.0,1.0,1.0,False
hetcap-az-anticorr-folgada,lowest_carbon_dc,100.0,3.5,3.5,False
hetcap-az-anticorr-folgada,round_robin,100.0,11.0,11.0,False
hetcap-az-anticorr-folgada,worst_fit,100.0,10.0,10.0,False
hetcap-az-anticorr-folgada,wsnb,100.0,5.0,5.0,False
hetcap-az-realjun-folgada,best_fit,100.0,8.0,8.0,False
hetcap-az-realjun-folgada,bfd,100.0,9.0,9.0,False
hetcap-az-realjun-folgada,cnemesis,100.0,2.0,2.0,False
hetcap-az-realjun-folgada,ffd,100.0,7.0,7.0,False
hetcap-az-realjun-folgada,first_fit,100.0,6.0,6.0,False
hetcap-az-realjun-folgada,follow_renewables,100.0,1.0,1.0,False
hetcap-az-realjun-folgada,followme_s,100.0,3.0,3.0,False
hetcap-az-realjun-folgada,lowest_carbon_dc,100.0,5.0,5.0,False
hetcap-az-realjun-folgada,round_robin,100.0,11.0,11.0,False
hetcap-az-realjun-folgada,worst_fit,100.0,10.0,10.0,False
hetcap-az-realjun-folgada,wsnb,100.0,4.0,4.0,False
net100-az-anticorr-folgada,best_fit,100.0,8.0,8.0,False
net100-az-anticorr-folgada,bfd,100.0,9.0,9.0,False
net100-az-anticorr-folgada,cnemesis,100.0,1.0,1.0,False
net100-az-anticorr-folgada,ffd,100.0,7.0,7.0,False
net100-az-anticorr-folgada,first_fit,100.0,6.0,6.0,False
net100-az-anticorr-folgada,follow_renewables,100.0,3.5,3.5,False
net100-az-anticorr-folgada,followme_s,100.0,5.0,5.0,False
net100-az-anticorr-folgada,lowest_carbon_dc,100.0,3.5,3.5,False
net100-az-anticorr-folgada,round_robin,100.0,11.0,11.0,False
net100-az-anticorr-folgada,worst_fit,100.0,10.0,10.0,False
net100-az-anticorr-folgada,wsnb,100.0,2.0,2.0,False
net100-az-realjun-alta,best_fit,95.519,8.0,8.0,False
net100-az-realjun-alta,bfd,94.81700000000001,9.0,9.0,False
net100-az-realjun-alta,cnemesis,96.18799999999999,3.0,2.0,True
net100-az-realjun-alta,ffd,94.82200000000002,7.0,7.0,False
net100-az-realjun-alta,first_fit,95.66700000000002,6.0,6.0,False
net100-az-realjun-alta,follow_renewables,96.37799999999999,2.0,1.0,True
net100-az-realjun-alta,followme_s,95.856,1.0,3.0,True
net100-az-realjun-alta,lowest_carbon_dc,95.655,4.0,5.0,True
net100-az-realjun-alta,round_robin,96.439,11.0,11.0,False
net100-az-realjun-alta,worst_fit,96.581,10.0,10.0,False
net100-az-realjun-alta,wsnb,95.704,5.0,4.0,True
net100-az-realjun-folgada,best_fit,100.0,8.0,8.0,False
net100-az-realjun-folgada,bfd,100.0,9.0,9.0,False
net100-az-realjun-folgada,cnemesis,100.0,1.0,1.0,False
net100-az-realjun-folgada,ffd,100.0,7.0,7.0,False
net100-az-realjun-folgada,first_fit,100.0,6.0,6.0,False
net100-az-realjun-folgada,follow_renewables,100.0,3.5,3.5,False
net100-az-realjun-folgada,followme_s,100.0,2.0,2.0,False
net100-az-realjun-folgada,lowest_carbon_dc,100.0,3.5,3.5,False
net100-az-realjun-folgada,round_robin,100.0,11.0,11.0,False
net100-az-realjun-folgada,worst_fit,100.0,10.0,10.0,False
net100-az-realjun-folgada,wsnb,100.0,5.0,5.0,False
net100-go-realjun-folgada,best_fit,100.0,9.0,9.0,False
net100-go-realjun-folgada,bfd,100.0,8.0,8.0,False
net100-go-realjun-folgada,cnemesis,100.0,2.0,2.0,False
net100-go-realjun-folgada,ffd,100.0,6.0,6.0,False
net100-go-realjun-folgada,first_fit,100.0,7.0,7.0,False
net100-go-realjun-folgada,follow_renewables,100.0,3.5,3.5,False
net100-go-realjun-folgada,followme_s,100.0,1.0,1.0,False
net100-go-realjun-folgada,lowest_carbon_dc,100.0,3.5,3.5,False
net100-go-realjun-folgada,round_robin,99.785,11.0,11.0,False
net100-go-realjun-folgada,worst_fit,98.745,10.0,10.0,False
net100-go-realjun-folgada,wsnb,100.0,5.0,5.0,False
pue-az-realjun-folgada,best_fit,100.0,8.0,8.0,False
pue-az-realjun-folgada,bfd,100.0,9.0,9.0,False
pue-az-realjun-folgada,cnemesis,100.0,2.0,2.0,False
pue-az-realjun-folgada,ffd,100.0,7.0,7.0,False
pue-az-realjun-folgada,first_fit,100.0,6.0,6.0,False
pue-az-realjun-folgada,follow_renewables,100.0,3.5,3.5,False
pue-az-realjun-folgada,followme_s,100.0,1.0,1.0,False
