celula,algoritmo,n_seeds,media_migrador,media_lcdc,dif_media,dif_pct,dif_min,dif_mediana,dif_max,ic95_bca_lo,ic95_bca_hi,todas_dif_nulas,classe,p_bruto,r_rank_biserial,p_holm3,significativo
net100-az-anticorr-folgada,cnemesis,10,5938.538209560083,6395.912470034652,-457.3742604745689,-7.1510400215356755,-619.1561586538292,-505.2078340257731,-298.77964465699733,-522.5088234886075,-386.03595998966915,False,contraste,0.001953125,-1.0,0.005859375,True
net100-az-anticorr-folgada,follow_renewables,10,6395.912470034652,6395.912470034652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
net100-az-anticorr-folgada,followme_s,10,6423.032698078395,6395.912470034652,27.120228043742735,0.4240243776130946,-34.82206681121079,29.495299893689207,82.1130037098419,5.974973094061225,44.91087765068109,False,contraste,0.037109375,0.7454545454545455,0.07421875,False
net100-az-realjun-alta,cnemesis,10,60477.51324078724,60493.57727157542,-16.06403078818621,-0.026554936098537416,-182.87481577270955,-8.127258833963424,186.1759475345898,-72.56503439301692,49.63327315800372,False,contraste,0.556640625,-0.23636363636363636,0.556640625,False
net100-az-realjun-alta,follow_renewables,10,60435.14621469866,60493.57727157542,-58.431056876770164,-0.09659051342666358,-182.42570775142667,-64.79568654115064,109.1838764273416,-114.7362767016469,9.583784618780628,False,contraste,0.10546875,-0.6,0.2109375,False
net100-az-realjun-alta,followme_s,10,60406.54506386982,60493.57727157542,-87.03220770560657,-0.1438701621411651,-250.15307834329724,-95.81002151962093,75.48999228328466,-146.9129889387201,-23.5272179784892,False,contraste,0.037109375,-0.7454545454545455,0.111328125,False
net100-az-realjun-folgada,cnemesis,10,5644.247890579317,5977.228299736213,-332.9804091568948,-5.570816312497046,-446.0766618600401,-382.19303946226864,-204.78810650155356,-383.0873458785121,-274.0984462281387,False,contraste,0.001953125,-1.0,0.005859375,True
net100-az-realjun-folgada,follow_renewables,10,5977.228299736213,5977.228299736213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
net100-az-realjun-folgada,followme_s,10,5974.6797105925125,5977.228299736213,-2.548589143699337,-0.04263831019825379,-39.07768839240816,-1.9668738420546106,27.00844747399242,-14.91629284544423,7.999916839383543,False,contraste,0.76953125,-0.12727272727272726,1.0,False
net100-go-realjun-folgada,cnemesis,10,4120.808194978862,4198.909841656188,-78.10164667732742,-1.8600458124273886,-191.15118190253088,-47.16972643795498,-4.336801764612574,-120.92265924240297,-46.526624070627,False,contraste,0.001953125,-1.0,0.005859375,True
net100-go-realjun-folgada,follow_renewables,10,4198.909841656188,4198.909841656188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
net100-go-realjun-folgada,followme_s,10,4063.17944123653,4198.909841656188,-135.73040041965865,-3.232515237005473,-256.94575110706865,-144.4218183022524,-17.219721593695795,-184.722752376394,-84.64289308386601,False,contraste,0.001953125,-1.0,0.005859375,True
pue-az-realjun-folgada,cnemesis,10,6089.797895510827,6411.520959874162,-321.72306436333446,-5.017889926225069,-430.9957782740257,-369.2719224697721,-197.8646651785475,-370.20885590455714,-263.83687586028225,False,contraste,0.001953125,-1.0,0.005859375,True
pue-az-realjun-folgada,follow_renewables,10,6411.520959874162,6411.520959874162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
pue-az-realjun-folgada,followme_s,10,5837.89678626827,6411.520959874162,-573.6241736058912,-8.946772180826647,-783.6436977306203,-607.3469779641541,-365.2010807803763,-649.5682876363755,-489.16617310509565,False,contraste,0.001953125,-1.0,0.005859375,True
pue-go-realjun-folgada,cnemesis,10,4580.928926598725,4660.618364694556,-79.68943809583043,-1.7098468885480835,-187.3790842861863,-49.47512526458286,-11.828935527187241,-120.50070765789697,-50.04265020936231,False,contraste,0.001953125,-1.0,0.005859375,True
pue-go-realjun-folgada,follow_renewables,10,4660.618364694556,4660.618364694556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,empate_empirico,1.0,0.0,1.0,False
pue-go-realjun-folgada,followme_s,10,4487.505327990853,4660.618364694556,-173.1130367037034,-3.7143791479491535,-288.59232579928084,-196.74380499477138,-54.412804823065926,-221.82482026045702,-122.5447118172827,False,contraste,0.001953125,-1.0,0.005859375,True
