celula,metrica,algoritmo,media,posto_medio,vencedor
az-realjan-alta,total_kwh,round_robin,159.40002048672028,11.0,False
az-realjan-alta,total_kwh,worst_fit,150.75585771840682,10.0,False
az-realjan-alta,total_kwh,wsnb,143.67882609047996,5.0,False
az-realjan-alta,gco2_por_vm,best_fit,6.80447869181006,8.0,False
az-realjan-alta,gco2_por_vm,bfd,6.88165212808884,9.0,False
az-realjan-alta,gco2_por_vm,cnemesis,6.286074564195468,3.0,False
az-realjan-alta,gco2_por_vm,ffd,6.692130228937336,7.0,False
az-realjan-alta,gco2_por_vm,first_fit,6.644784160763317,6.0,False
az-realjan-alta,gco2_por_vm,follow_renewables,5.926657044314644,1.0,True
az-realjan-alta,gco2_por_vm,followme_s,6.2672231754538155,2.0,False
az-realjan-alta,gco2_por_vm,lowest_carbon_dc,6.336210961942852,4.0,False
az-realjan-alta,gco2_por_vm,round_robin,7.578739180767317,11.0,False
az-realjan-alta,gco2_por_vm,worst_fit,7.113654964868556,10.0,False
az-realjan-alta,gco2_por_vm,wsnb,6.341682953701675,5.0,False
az-realjan-folgada,total_gco2,best_fit,21521.22836317863,9.0,False
az-realjan-folgada,total_gco2,bfd,21391.617040010162,8.0,False
az-realjan-folgada,total_gco2,cnemesis,5628.393432524473,2.0,False
az-realjan-folgada,total_gco2,ffd,13041.780256247843,7.0,False
az-realjan-folgada,total_gco2,first_fit,13010.10244011268,6.0,False
az-realjan-folgada,total_gco2,follow_renewables,5963.489357538987,3.5,False
az-realjan-folgada,total_gco2,followme_s,5367.674907812067,1.0,True
az-realjan-folgada,total_gco2,lowest_carbon_dc,5963.489357538987,3.5,False
az-realjan-folgada,total_gco2,round_robin,60837.410131365665,11.0,False
az-realjan-folgada,total_gco2,worst_fit,27920.20081756571,10.0,False
az-realjan-folgada,total_gco2,wsnb,6515.946005692558,5.0,False
az-realjan-folgada,total_kwh,best_fit,45.35104637995434,7.0,False
az-realjan-folgada,total_kwh,bfd,47.29409616476342,9.0,False
az-realjan-folgada,total_kwh,cnemesis,41.645490479448576,2.0,False
az-realjan-folgada,total_kwh,ffd,46.27933495967997,8.0,False
az-realjan-folgada,total_kwh,first_fit,44.919800074774656,6.0,False
az-realjan-folgada,total_kwh,follow_renewables,42.95572202502511,4.5,False
az-realjan-folgada,total_kwh,followme_s,39.454079547098644,1.0,True
az-realjan-folgada,total_kwh,lowest_carbon_dc,42.95572202502511,4.5,False
az-realjan-folgada,total_kwh,round_robin,131.8991683511138,11.0,False
az-realjan-folgada,total_kwh,worst_fit,61.571565760142114,10.0,False
az-realjan-folgada,total_kwh,wsnb,42.59421708255025,3.0,False
az-realjan-folgada,gco2_por_vm,best_fit,10.760614181589316,9.0,False
az-realjan-folgada,gco2_por_vm,bfd,10.69580852000508,8.0,False
az-realjan-folgada,gco2_por_vm,cnemesis,2.814196716262236,2.0,False
az-realjan-folgada,gco2_por_vm,ffd,6.520890128123921,7.0,False
az-realjan-folgada,gco2_por_vm,first_fit,6.505051220056339,6.0,False
az-realjan-folgada,gco2_por_vm,follow_renewables,2.9817446787694935,3.5,False
az-realjan-folgada,gco2_por_vm,followme_s,2.6838374539060337,1.0,True
az-realjan-folgada,gco2_por_vm,lowest_carbon_dc,2.9817446787694935,3.5,False
az-realjan-folgada,gco2_por_vm,round_robin,30.41870506568284,11.0,False
az-realjan-folgada,gco2_por_vm,worst_fit,13.960100408782857,10.0,False
az-realjan-folgada,gco2_por_vm,wsnb,3.257973002846279,5.0,False
az-realjun-alta,total_gco2,best_fit,64861.45340098076,8.0,False
az-realjun-alta,total_gco2,bfd,65153.78477414806,9.0,False
az-realjun-alta,total_gco2,cnemesis,60405.75283766492,3.0,False
az-realjun-alta,total_gco2,ffd,63479.19592045095,6.0,False
az-realjun-alta,total_gco2,first_fit,63529.90441490204,7.0,False
az-realjun-alta,total_gco2,follow_renewables,57076.94767505791,1.0,True
az-realjun-alta,total_gco2,followme_s,60041.75224319645,2.0,False
az-realjun-alta,total_gco2,lowest_carbon_dc,60512.66914617041,4.0,False
az-realjun-alta,total_gco2,round_robin,73079.97289238227,11.0,False
az-realjun-alta,total_gco2,worst_fit,68673.78171325829,10.0,False
az-realjun-alta,total_gco2,wsnb,60543.64884915357,5.0,False
