celula,metrica,alg_i,alg_j,n_seeds,media_i,media_j,dif_media,dif_pct,dif_mediana,todas_dif_nulas,classe,p_bruto,r_rank_biserial,p_holm55,significativo
go-flat-folgada,gco2_por_vm,bfd,first_fit,30,9.470585804110723,9.488473692752807,-0.017887888642083936,-0.18852229790916225,0.0045852962806565145,False,contraste,0.7765688337385654,-0.06236559139784946,1.0,False
go-flat-folgada,gco2_por_vm,bfd,follow_renewables,30,9.470585804110723,9.494951497738661,-0.024365693627938907,-0.2566173574845737,-0.007721050308125754,False,contraste,0.7456546742469072,-0.07096774193548387,1.0,False
go-flat-folgada,gco2_por_vm,bfd,followme_s,30,9.470585804110723,9.219951720721319,0.2506340833894029,2.718388240863746,0.26701136528853464,False,contraste,3.855675458908081e-07,0.9268817204301075,6.554648280143738e-06,True
go-flat-folgada,gco2_por_vm,bfd,lowest_carbon_dc,30,9.470585804110723,9.494951497738661,-0.024365693627938907,-0.2566173574845737,-0.007721050308125754,False,contraste,0.7456546742469072,-0.07096774193548387,1.0,False
go-flat-folgada,gco2_por_vm,bfd,round_robin,30,9.470585804110723,32.5415128324654,-23.07092702835467,-70.89690988594023,-23.00528858682097,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
go-flat-folgada,gco2_por_vm,bfd,worst_fit,30,9.470585804110723,16.206485047700493,-6.735899243589772,-41.562986815241075,-6.693456793190812,False,contraste,1.862645149230957e-09,-1.0,1.0244548320770264e-07,True
go-flat-folgada,gco2_por_vm,bfd,wsnb,30,9.470585804110723,9.494951497738661,-0.024365693627938907,-0.2566173574845737,-0.007721050308125754,False,contraste,0.7456546742469072,-0.07096774193548387,1.0,False
go-flat-folgada,gco2_por_vm,cnemesis,ffd,30,9.421581315202438,8.753961384941944,0.6676199302604957,7.626489321838873,0.6588158775451944,False,contraste,1.862645149230957e-09,1.0,1.0244548320770264e-07,True
go-flat-folgada,gco2_por_vm,cnemesis,first_fit,30,9.421581315202438,9.488473692752807,-0.06689237755036785,-0.7049856459154176,-0.10226799308308898,False,contraste,0.009301122277975082,-0.535483870967742,0.11161346733570099,False
go-flat-folgada,gco2_por_vm,cnemesis,follow_renewables,30,9.421581315202438,9.494951497738661,-0.07337018253622282,-0.7727283552074682,-0.0716687670972993,False,contraste,3.2391399145126343e-06,-0.875268817204301,4.8587098717689514e-05,True
