celula	migrador	seed	n_migracoes	n_pos_migrador	n_pos_lcdc	identica	primeiro_divergente	n_dst_diferentes
net100-az-anticorr-folgada	cnemesis	49	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	50	460	2000	2000	1	-1	0
net100-az-anticorr-folgada	cnemesis	51	460	2000	2000	1	-1	0
net100-az-realjun-alta	follow_renewables	42	2839	9564	9494	0	3835	5700
net100-az-realjun-alta	follow_renewables	43	2856	9738	9723	0	3842	5422
net100-az-realjun-alta	follow_renewables	44	2872	9633	9565	0	3835	5739
net100-az-realjun-alta	follow_renewables	45	2839	9577	9452	0	3835	5669
net100-az-realjun-alta	follow_renewables	46	2892	9698	9636	0	3835	5753
net100-az-realjun-alta	follow_renewables	47	2816	9579	9506	0	3837	5742
net100-az-realjun-alta	follow_renewables	48	2823	9744	9670	0	3836	5504
net100-az-realjun-alta	follow_renewables	49	2891	9647	9594	0	3835	5813
net100-az-realjun-alta	follow_renewables	50	2859	9583	9479	0	3837	5721
net100-az-realjun-alta	follow_renewables	51	2825	9615	9536	0	3835	5711
net100-az-realjun-alta	followme_s	42	791	9505	9494	0	2736	5117
net100-az-realjun-alta	followme_s	43	757	9732	9723	0	2728	5525
net100-az-realjun-alta	followme_s	44	788	9571	9565	0	2728	6390
net100-az-realjun-alta	followme_s	45	770	9541	9452	0	2728	6515
net100-az-realjun-alta	followme_s	46	796	9637	9636	0	2738	5837
net100-az-realjun-alta	followme_s	47	662	9549	9506	0	2742	6334
net100-az-realjun-alta	followme_s	48	738	9689	9670	0	2732	6446
net100-az-realjun-alta	followme_s	49	735	9603	9594	0	2733	6210
net100-az-realjun-alta	followme_s	50	728	9493	9479	0	2730	6246
net100-az-realjun-alta	followme_s	51	674	9536	9536	0	2728	5858
net100-az-realjun-alta	cnemesis	42	315	9559	9494	0	2784	4989
net100-az-realjun-alta	cnemesis	43	284	9726	9723	0	2791	3791
net100-az-realjun-alta	cnemesis	44	375	9602	9565	0	2796	4576
net100-az-realjun-alta	cnemesis	45	375	9574	9452	0	2774	6091
net100-az-realjun-alta	cnemesis	46	336	9677	9636	0	2790	4641
net100-az-realjun-alta	cnemesis	47	343	9562	9506	0	2786	5734
net100-az-realjun-alta	cnemesis	48	338	9700	9670	0	2762	5920
net100-az-realjun-alta	cnemesis	49	267	9644	9594	0	2780	5778
net100-az-realjun-alta	cnemesis	50	340	9559	9479	0	2802	5570
net100-az-realjun-alta	cnemesis	51	305	9585	9536	0	2780	4624
net100-az-realjun-folgada	follow_renewables	42	0	2000	2000	1	-1	0
net100-az-realjun-folgada	follow_renewables	43	0	2000	2000	1	-1	0
net100-az-realjun-folgada	follow_renewables	44	0	2000	2000	1	-1	0
net100-az-realjun-folgada	follow_renewables	45	0	2000	2000	1	-1	0
net100-az-realjun-folgada	follow_renewables	46	0	2000	2000	1	-1	0
net100-az-realjun-folgada	follow_renewables	47	0	2000	2000	1	-1	0
net100-az-realjun-folgada	follow_renewables	48	0	2000	2000	1	-1	0
net100-az-realjun-folgada	follow_renewables	49	0	2000	2000	1	-1	0
net100-az-realjun-folgada	follow_renewables	50	0	2000	2000	1	-1	0
net100-az-realjun-folgada	follow_renewables	51	0	2000	2000	1	-1	0
net100-az-realjun-folgada	followme_s	42	417	2000	2000	1	-1	0
net100-az-realjun-folgada	followme_s	43	477	2000	2000	1	-1	0
net100-az-realjun-folgada	followme_s	44	418	2000	2000	1	-1	0
net100-az-realjun-folgada	followme_s	45	372	2000	2000	1	-1	0
net100-az-realjun-folgada	followme_s	46	417	2000	2000	1	-1	0
net100-az-realjun-folgada	followme_s	47	396	2000	2000	1	-1	0
net100-az-realjun-folgada	followme_s	48	408	2000	2000	1	-1	0
net100-az-realjun-folgada	followme_s	49	462	2000	2000	1	-1	0
net100-az-realjun-folgada	followme_s	50	480	2000	2000	1	-1	0
net100-az-realjun-folgada	followme_s	51	496	2000	2000	1	-1	0
net100-az-realjun-folgada	cnemesis	42	460	2000	2000	1	-1	0
net100-az-realjun-folgada	cnemesis	43	460	2000	2000	1	-1	0
net100-az-realjun-folgada	cnemesis	44	460	2000	2000	1	-1	0
net100-az-realjun-folgada	cnemesis	45	460	2000	2000	1	-1	0
net100-az-realjun-folgada	cnemesis	46	460	2000	2000	1	-1	0
net100-az-realjun-folgada	cnemesis	47	460	2000	2000	1	-1	0
net100-az-realjun-folgada	cnemesis	48	460	2000	2000	1	-1	0
net100-az-realjun-folgada	cnemesis	49	460	2000	2000	1	-1	0
net100-az-realjun-folgada	cnemesis	50	460	2000	2000	1	-1	0
net100-az-realjun-folgada	cnemesis	51	460	2000	2000	1	-1	0
net100-go-realjun-folgada	follow_renewables	42	0	2000	2000	1	-1	0
net100-go-realjun-folgada	follow_renewables	43	0	2000	2000	1	-1	0
net100-go-realjun-folgada	follow_renewables	44	0	2000	2000	1	-1	0
net100-go-realjun-folgada	follow_renewables	45	0	2000	2000	1	-1	0
net100-go-realjun-folgada	follow_renewables	46	0	2000	2000	1	-1	0
net100-go-realjun-folgada	follow_renewables	47	0	2000	2000	1	-1	0
net100-go-realjun-folgada	follow_renewables	48	0	2000	2000	1	-1	0
net100-go-realjun-folgada	follow_renewables	49	0	2000	2000	1	-1	0
net100-go-realjun-folgada	follow_renewables	50	0	2000	2000	1	-1	0
net100-go-realjun-folgada	follow_renewables	51	0	2000	2000	1	-1	0
net100-go-realjun-folgada	followme_s	42	1020	2000	2000	0	227	1603
net100-go-realjun-folgada	followme_s	43	790	2000	2000	0	225	1583
net100-go-realjun-folgada	followme_s	44	1044	2000	2000	0	226	1542
net100-go-realjun-folgada	followme_s	45	946	2000	2000	0	225	1565
net100-go-realjun-folgada	followme_s	46	1044	2000	2000	0	238	1572
net100-go-realjun-folgada	followme_s	47	1058	2000	2000	0	225	1591
net100-go-realjun-folgada	followme_s	48	1100	2000	2000	0	229	1558
net100-go-realjun-folgada	followme_s	49	1027	2000	2000	0	226	1578
net100-go-realjun-folgada	followme_s	50	1031	2000	2000	0	226	1563
net100-go-realjun-folgada	followme_s	51	1005	2000	2000	0	225	1628
net100-go-realjun-folgada	cnemesis	42	460	2000	2000	0	304	1341
net100-go-realjun-folgada	cnemesis	43	460	2000	2000	0	268	1427
net100-go-realjun-folgada	cnemesis	44	460	2000	2000	0	278	1464
net100-go-realjun-folgada	cnemesis	45	460	2000	2000	0	284	1394
net100-go-realjun-folgada	cnemesis	46	460	2000	2000	0	257	1395
net100-go-realjun-folgada	cnemesis	47	460	2000	2000	0	310	1453
net100-go-realjun-folgada	cnemesis	48	460	2000	2000	0	234	1388
net100-go-realjun-folgada	cnemesis	49	460	2000	2000	0	279	1507
net100-go-realjun-folgada	cnemesis	50	460	2000	2000	0	226	1400
net100-go-realjun-folgada	cnemesis	51	460	2000	2000	0	225	1207
pue-az-realjun-folgada	follow_renewables	42	0	2000	2000	1	-1	0
pue-az-realjun-folgada	follow_renewables	43	0	2000	2000	1	-1	0
pue-az-realjun-folgada	follow_renewables	44	0	2000	2000	1	-1	0
pue-az-realjun-folgada	follow_renewables	45	0	2000	2000	1	-1	0
pue-az-realjun-folgada	follow_renewables	46	0	2000	2000	1	-1	0
pue-az-realjun-folgada	follow_renewables	47	0	2000	2000	1	-1	0
pue-az-realjun-folgada	follow_renewables	48	0	2000	2000	1	-1	0
pue-az-realjun-folgada	follow_renewables	49	0	2000	2000	1	-1	0
pue-az-realjun-folgada	follow_renewables	50	0	2000	2000	1	-1	0
pue-az-realjun-folgada	follow_renewables	51	0	2000	2000	1	-1	0
pue-az-realjun-folgada	followme_s	42	872	2000	2000	1	-1	0
pue-az-realjun-folgada	followme_s	43	987	2000	2000	1	-1	0
pue-az-realjun-folgada	followme_s	44	914	2000	2000	1	-1	0
pue-az-realjun-folgada	followme_s	45	873	2000	2000	1	-1	0
pue-az-realjun-folgada	followme_s	46	952	2000	2000	1	-1	0
pue-az-realjun-folgada	followme_s	47	888	2000	2000	1	-1	0
pue-az-realjun-folgada	followme_s	48	953	2000	2000	1	-1	0
pue-az-realjun-folgada	followme_s	49	1031	2000	2000	1	-1	0
pue-az-realjun-folgada	followme_s	50	947	2000	2000	1	-1	0
pue-az-realjun-folgada	followme_s	51	992	2000	2000	1	-1	0
pue-az-realjun-folgada	cnemesis	42	460	2000	2000	1	-1	0
pue-az-realjun-folgada	cnemesis	43	460	2000	2000	1	-1	0
pue-az-realjun-folgada	cnemesis	44	460	2000	2000	1	-1	0
pue-az-realjun-folgada	cnemesis	45	460	2000	2000	1	-1	0
pue-az-realjun-folgada	cnemesis	46	460	2000	2000	1	-1	0
pue-az-realjun-folgada	cnemesis	47	460	2000	2000	1	-1	0
pue-az-realjun-folgada	cnemesis	48	460	2000	2000	1	-1	0
pue-az-realjun-folgada	cnemesis	49	460	2000	2000	1	-1	0
pue-az-realjun-folgada	cnemesis	50	460	2000	2000	1	-1	0
pue-az-realjun-folgada	cnemesis	51	460	2000	2000	1	-1	0
pue-go-realjun-folgada	follow_renewables	42	0	2000	2000	1	-1	0
pue-go-realjun-folgada	follow_renewables	43	0	2000	2000	1	-1	0
pue-go-realjun-folgada	follow_renewables	44	0	2000	2000	1	-1	0
pue-go-realjun-folgada	follow_renewables	45	0	2000	2000	1	-1	0
pue-go-realjun-folgada	follow_renewables	46	0	2000	2000	1	-1	0
pue-go-realjun-folgada	follow_renewables	47	0	2000	2000	1	-1	0
pue-go-realjun-folgada	follow_renewables	48	0	2000	2000	1	-1	0
pue-go-realjun-folgada	follow_renewables	49	0	2000	2000	1	-1	0
pue-go-realjun-folgada	follow_renewables	50	0	2000	2000	1	-1	0
pue-go-realjun-folgada	follow_renewables	51	0	2000	2000	1	-1	0
pue-go-realjun-folgada	followme_s	42	1150	2000	2000	0	227	1603
pue-go-realjun-folgada	followme_s	43	1087	2000	2000	0	225	1588
pue-go-realjun-folgada	followme_s	44	1149	2000	2000	0	226	1537
pue-go-realjun-folgada	followme_s	45	1136	2000	2000	0	225	1561
pue-go-realjun-folgada	followme_s	46	1149	2000	2000	0	238	1566
pue-go-realjun-folgada	followme_s	47	1146	2000	2000	0	225	1592
pue-go-realjun-folgada	followme_s	48	1150	2000	2000	0	229	1558
pue-go-realjun-folgada	followme_s	49	1130	2000	2000	0	226	1577
pue-go-realjun-folgada	followme_s	50	1143	2000	2000	0	226	1565
pue-go-realjun-folgada	followme_s	51	1143	2000	2000	0	225	1628
pue-go-realjun-folgada	cnemesis	42	460	2000	2000	0	304	1341
pue-go-realjun-folgada	cnemesis	43	460	2000	2000	0	268	1427
pue-go-realjun-folgada	cnemesis	44	460	2000	2000	0	278	1464
pue-go-realjun-folgada	cnemesis	45	460	2000	2000	0	284	1394
pue-go-realjun-folgada	cnemesis	46	460	2000	2000	0	257	1395
pue-go-realjun-folgada	cnemesis	47	460	2000	2000	0	310	1453
pue-go-realjun-folgada	cnemesis	48	460	2000	2000	0	234	1388
pue-go-realjun-folgada	cnemesis	49	460	2000	2000	0	279	1507
pue-go-realjun-folgada	cnemesis	50	460	2000	2000	0	226	1400
pue-go-realjun-folgada	cnemesis	51	460	2000	2000	0	225	1207
