celula,algoritmo,seed,git_sha,total_kwh,total_gco2,total_migrations,total_mig_bytes,mean_active_hosts,final_sla_violations,total_unplaced_vms,algo_wall_total_us
geo3-go-realjun-folgada,best_fit,43,305e2b27726305e196eea090fabc312280b39e1f,40.521608870905794,12698.372920324346,0,0.0,121.08333333333333,0,0,689
geo3-go-realjun-folgada,best_fit,44,305e2b27726305e196eea090fabc312280b39e1f,38.886855723136904,11875.659861510172,0,0.0,119.0,0,0,956
geo3-go-realjun-folgada,best_fit,45,305e2b27726305e196eea090fabc312280b39e1f,39.17715925882285,11773.913844102559,0,0.0,119.73333333333333,0,0,863
geo3-go-realjun-folgada,best_fit,46,305e2b27726305e196eea090fabc312280b39e1f,39.670331667112926,12166.202671682759,0,0.0,119.76666666666667,0,0,1098
geo3-go-realjun-folgada,best_fit,47,305e2b27726305e196eea090fabc312280b39e1f,37.76191451593551,11450.579073432706,0,0.0,117.62916666666666,0,0,1027
geo3-go-realjun-folgada,best_fit,48,305e2b27726305e196eea090fabc312280b39e1f,37.367100196296654,11552.441334053252,0,0.0,117.4875,0,0,726
geo3-go-realjun-folgada,best_fit,49,305e2b27726305e196eea090fabc312280b39e1f,39.40207995630507,12077.889527626805,0,0.0,119.9,0,0,1055
geo3-go-realjun-folgada,best_fit,50,305e2b27726305e196eea090fabc312280b39e1f,38.99064581424504,12021.42807093948,0,0.0,119.60416666666667,0,0,771
geo3-go-realjun-folgada,best_fit,51,305e2b27726305e196eea090fabc312280b39e1f,39.286732109853375,12003.148516375826,0,0.0,120.25,0,0,1009
geo3-go-realjun-folgada,bfd,42,305e2b27726305e196eea090fabc312280b39e1f,38.32666284595548,11485.646905531712,0,0.0,117.54583333333333,0,0,1341
geo3-go-realjun-folgada,bfd,43,305e2b27726305e196eea090fabc312280b39e1f,39.48103952990627,11892.3545929106,0,0.0,119.0875,0,0,1480
geo3-go-realjun-folgada,bfd,44,305e2b27726305e196eea090fabc312280b39e1f,39.31426274649137,11838.106601128697,0,0.0,119.28333333333333,0,0,1368
geo3-go-realjun-folgada,bfd,45,305e2b27726305e196eea090fabc312280b39e1f,39.11423672115815,11876.330874463358,0,0.0,118.99583333333334,0,0,1400
geo3-go-realjun-folgada,bfd,46,305e2b27726305e196eea090fabc312280b39e1f,39.517480242708935,12061.683899583571,0,0.0,119.36666666666666,0,0,1307
geo3-go-realjun-folgada,bfd,47,305e2b27726305e196eea090fabc312280b39e1f,37.33985430261006,11210.52582948322,0,0.0,117.13333333333334,0,0,1330
geo3-go-realjun-folgada,bfd,48,305e2b27726305e196eea090fabc312280b39e1f,37.08776401853829,11290.356727705926,0,0.0,116.30833333333334,0,0,1453
geo3-go-realjun-folgada,bfd,49,305e2b27726305e196eea090fabc312280b39e1f,39.25230757034789,11842.953501682312,0,0.0,117.92083333333333,0,0,1173
geo3-go-realjun-folgada,bfd,50,305e2b27726305e196eea090fabc312280b39e1f,39.00653532145674,11942.054419950795,0,0.0,119.39583333333333,0,0,1617
geo3-go-realjun-folgada,bfd,51,305e2b27726305e196eea090fabc312280b39e1f,39.11567634622678,11884.321291686178,0,0.0,118.9625,0,0,1669
geo3-go-realjun-folgada,cnemesis,42,305e2b27726305e196eea090fabc312280b39e1f,36.945199804112335,10060.204674463203,401,3092339.6644477844,91.68333333333334,9504,1,8207
geo3-go-realjun-folgada,cnemesis,43,305e2b27726305e196eea090fabc312280b39e1f,38.2256907154574,10614.075643856177,394,3536972.24442482,95.55,6753,3,8996
